2025-02-19 15:41:36,305 [INFO] Using device: mps
2025-02-19 15:41:36,305 [INFO] Loading tokenized train/valid sets from disk...
2025-02-19 15:41:36,319 [INFO] Train samples: 3668, Valid samples: 408
2025-02-19 15:41:36,735 [INFO] Measuring Time to First Training Step (TTFT)...
2025-02-19 15:41:37,465 [INFO] TTFT finished: 721.62 ms, initial loss=1.0227
2025-02-19 15:41:37,466 [INFO] 
===== Epoch 1/3 =====
2025-02-19 15:41:52,314 [INFO]   [Epoch 1, Batch 51] loss=0.3229, step_time=0.28s, tokens=1024
2025-02-19 15:41:52,593 [INFO]   [Epoch 1, Batch 52] loss=0.8014, step_time=0.28s, tokens=1024
2025-02-19 15:41:52,875 [INFO]   [Epoch 1, Batch 53] loss=0.8717, step_time=0.26s, tokens=1024
2025-02-19 15:41:53,157 [INFO]   [Epoch 1, Batch 54] loss=0.7327, step_time=0.28s, tokens=1024
2025-02-19 15:41:53,437 [INFO]   [Epoch 1, Batch 55] loss=0.9664, step_time=0.28s, tokens=1024
2025-02-19 15:41:53,720 [INFO]   [Epoch 1, Batch 56] loss=0.5084, step_time=0.28s, tokens=1024
2025-02-19 15:41:54,003 [INFO]   [Epoch 1, Batch 57] loss=0.5031, step_time=0.27s, tokens=1024
2025-02-19 15:41:54,284 [INFO]   [Epoch 1, Batch 58] loss=0.8141, step_time=0.28s, tokens=1024
2025-02-19 15:41:54,564 [INFO]   [Epoch 1, Batch 59] loss=0.5579, step_time=0.28s, tokens=1024
2025-02-19 15:41:54,844 [INFO]   [Epoch 1, Batch 60] loss=0.5338, step_time=0.27s, tokens=1024
2025-02-19 15:41:55,124 [INFO]   [Epoch 1, Batch 61] loss=0.4583, step_time=0.28s, tokens=1024
2025-02-19 15:41:55,407 [INFO]   [Epoch 1, Batch 62] loss=0.3646, step_time=0.28s, tokens=1024
2025-02-19 15:41:55,693 [INFO]   [Epoch 1, Batch 63] loss=0.7098, step_time=0.28s, tokens=1024
2025-02-19 15:41:55,974 [INFO]   [Epoch 1, Batch 64] loss=0.5096, step_time=0.27s, tokens=1024
2025-02-19 15:41:56,254 [INFO]   [Epoch 1, Batch 65] loss=0.4945, step_time=0.28s, tokens=1024
2025-02-19 15:41:56,535 [INFO]   [Epoch 1, Batch 66] loss=0.7441, step_time=0.28s, tokens=1024
2025-02-19 15:41:56,816 [INFO]   [Epoch 1, Batch 67] loss=0.7298, step_time=0.28s, tokens=1024
2025-02-19 15:41:57,096 [INFO]   [Epoch 1, Batch 68] loss=0.8975, step_time=0.28s, tokens=1024
2025-02-19 15:41:57,376 [INFO]   [Epoch 1, Batch 69] loss=0.7995, step_time=0.28s, tokens=1024
2025-02-19 15:41:57,659 [INFO]   [Epoch 1, Batch 70] loss=0.6590, step_time=0.28s, tokens=1024
2025-02-19 15:41:57,937 [INFO]   [Epoch 1, Batch 71] loss=0.8073, step_time=0.26s, tokens=1024
2025-02-19 15:41:58,459 [INFO]   [Epoch 1, Batch 72] loss=0.5608, step_time=0.47s, tokens=1024
2025-02-19 15:41:58,797 [INFO]   [Epoch 1, Batch 73] loss=0.5287, step_time=0.33s, tokens=1024
2025-02-19 15:41:59,082 [INFO]   [Epoch 1, Batch 74] loss=0.5368, step_time=0.27s, tokens=1024
2025-02-19 15:41:59,366 [INFO]   [Epoch 1, Batch 75] loss=0.6340, step_time=0.27s, tokens=1024
2025-02-19 15:41:59,651 [INFO]   [Epoch 1, Batch 76] loss=0.5545, step_time=0.28s, tokens=1024
2025-02-19 15:41:59,935 [INFO]   [Epoch 1, Batch 77] loss=0.7180, step_time=0.27s, tokens=1024
2025-02-19 15:42:00,221 [INFO]   [Epoch 1, Batch 78] loss=0.6945, step_time=0.28s, tokens=1024
